amount,hour,distance_from_home_km,distance_from_last_transaction_km,is_foreign,is_new_device,failed_logins_24h,transactions_last_1h,avg_amount_30d,account_age_days,merchant_risk,velocity_ratio,is_fraud
1816.59,8,37.54,8.71,0,0,0,2,2103.53,1382,0.085,1.208,0
473.44,11,53.07,28.97,0,0,0,1,645.52,1740,0.345,0.879,0
2836.85,6,35.15,10.45,0,0,1,2,2620.73,2895,0.53,1.515,0
3430.85,23,15.97,7.01,0,0,0,3,1871.0,3231,0.166,2.932,0
190.37,10,37.8,5.2,0,1,0,2,2649.84,2644,0.055,0.101,0
364.24,23,50.18,3.22,0,0,1,0,1068.66,148,0.075,0.341,0
1522.09,0,19.46,26.24,0,0,0,2,1253.14,674,0.184,1.699,0
976.29,22,6.21,16.87,0,0,0,1,891.62,2753,0.102,1.312,0
1317.11,7,38.48,18.16,0,0,0,3,1648.63,619,0.192,1.277,0
570.75,22,51.19,9.94,0,0,0,0,547.53,868,0.08,1.041,0
3227.29,10,35.2,7.4,1,0,0,1,660.93,171,0.22,5.851,0
2915.49,16,27.87,6.78,0,0,0,2,1620.8,2569,0.106,2.517,0
1430.86,6,11.93,13.85,0,0,0,2,877.33,621,0.592,2.281,0
4134.99,15,11.21,6.18,0,0,1,0,5033.83,614,0.244,0.821,1
2137.75,21,39.11,6.77,0,1,1,2,415.88,842,0.418,7.179,0
567.2,21,18.98,19.96,0,0,1,0,703.15,934,0.294,0.806,0
1936.72,17,16.68,11.59,0,0,0,0,547.24,3198,0.188,3.533,0
513.43,10,21.24,7.1,0,0,0,1,668.05,3553,0.167,0.921,0
3224.23,6,18.06,18.82,0,0,0,1,958.16,509,0.393,4.034,0
1274.2,7,13.76,27.76,0,0,1,0,2791.28,581,0.082,0.456,0
1113.36,5,14.77,8.59,0,0,0,3,1312.64,1166,0.165,1.356,0
677.95,20,10.5,6.1,0,1,1,2,159.45,1652,0.238,5.915,0
4548.45,0,59.94,7.54,0,1,1,1,534.93,495,0.037,10.184,1
1147.65,2,19.67,13.25,1,0,0,0,801.96,3372,0.498,1.429,0
872.77,6,21.37,22.82,0,0,0,1,759.41,2678,0.287,1.377,0
941.87,9,37.44,14.71,1,0,0,2,1050.22,2568,0.393,1.254,1
2280.86,23,26.4,36.01,0,0,0,2,1283.86,1116,0.259,2.485,0
1930.33,20,54.99,10.08,0,1,1,1,1123.48,3222,0.153,2.06,0
2023.8,4,9.82,71.72,0,0,0,3,812.79,950,0.449,3.979,0
2060.74,19,47.31,13.21,0,0,0,2,900.74,79,0.178,3.199,0
11403.18,16,50.97,9.04,0,0,0,2,740.53,1586,0.201,21.529,0
892.11,9,9.37,11.47,0,0,0,0,2775.35,3525,0.088,0.321,0
802.52,9,19.31,45.48,1,0,0,1,558.59,3116,0.187,1.721,1
593.61,10,18.54,18.82,1,0,0,1,1309.39,391,0.16,0.544,1
2479.91,19,3.63,7.62,0,0,0,4,936.93,3147,0.036,4.759,0
4142.16,9,18.05,12.26,0,1,0,4,469.84,2300,0.071,15.835,0
1195.18,23,21.19,13.92,0,0,0,5,939.74,2691,0.123,2.541,0
578.16,18,15.16,6.66,0,0,0,2,1214.88,368,0.122,0.666,0
587.29,9,21.03,21.55,0,0,0,3,491.52,357,0.156,1.908,0
